name,search_query
Candi Prambanan,Candi Prambanan Yogyakarta
Malioboro,Malioboro Yogyakarta
Tugu Jogja,Tugu Jogja Yogyakarta
Taman Sari,Taman Sari Yogyakarta
HeHa Sky View,HeHa Sky View Yogyakarta
Candi Borobudur,Candi Borobudur Yogyakarta
Pantai Drini,Pantai Drini Yogyakarta
Obelix Hills,Obelix Hills Yogyakarta
Pantai Parangtritis,Pantai Parangtritis Yogyakarta
HeHa Ocean View,HeHa Ocean View Yogyakarta
Tebing Breksi,Tebing Breksi Yogyakarta
Pantai Slili,Pantai Slili Yogyakarta
Pantai Ngobaran,Pantai Ngobaran Yogyakarta
Gembira Loka,Gembira Loka Yogyakarta
Taman Pintar,Taman Pintar Yogyakarta
Pasar Beringharjo,Pasar Beringharjo Yogyakarta
Pantai Indrayanti,Pantai Indrayanti Yogyakarta
Kaliurang,Kaliurang Yogyakarta
Ratu Boko,Ratu Boko Yogyakarta
Goa Pindul,Goa Pindul Yogyakarta
Pantai Kukup,Pantai Kukup Yogyakarta
Candi Plaosan,Candi Plaosan Yogyakarta
Agrowisata Bhumi Merapi,Agrowisata Bhumi Merapi Yogyakarta
Pantai Gesing,Pantai Gesing Yogyakarta
Candi Mendut,Candi Mendut Yogyakarta
Prawirotaman,Prawirotaman Yogyakarta
Keraton Yogyakarta,Keraton Yogyakarta Yogyakarta
Pantai Baron,Pantai Baron Yogyakarta
Pantai Depok,Pantai Depok Yogyakarta
Candi Kalasan,Candi Kalasan Yogyakarta
Pantai Nglambor,Pantai Nglambor Yogyakarta
Pantai Pok Tunggal,Pantai Pok Tunggal Yogyakarta
Candi Ijo,Candi Ijo Yogyakarta
Bukit Bintang,Bukit Bintang Yogyakarta
Pantai Sadranan,Pantai Sadranan Yogyakarta
Pantai Sundak,Pantai Sundak Yogyakarta
Gumuk Pasir Parangkusumo,Gumuk Pasir Parangkusumo Yogyakarta
Kotagede,Kotagede Yogyakarta
Sindu Kusuma Edupark,Sindu Kusuma Edupark Yogyakarta
Hutan Pinus Pengger,Hutan Pinus Pengger Yogyakarta
Candi Pawon,Candi Pawon Yogyakarta
Pantai Baru,Pantai Baru Yogyakarta
Pantai Krakal,Pantai Krakal Yogyakarta
Pantai Kesirat,Pantai Kesirat Yogyakarta
Taman Pelangi,Taman Pelangi Yogyakarta
Monumen Jogja Kembali,Monumen Jogja Kembali Yogyakarta
Pemandian Tirta Budi,Pemandian Tirta Budi Yogyakarta
Pantai Sadeng,Pantai Sadeng Yogyakarta
Makam Raja-Raja Imogiri,Makam Raja-Raja Imogiri Yogyakarta
Puncak Becici,Puncak Becici Yogyakarta
Situs Warungboto,Situs Warungboto Yogyakarta
Kasongan,Kasongan Yogyakarta
Sendang Sono,Sendang Sono Yogyakarta
Pantai Wediombo,Pantai Wediombo Yogyakarta
Alun-alun Kidul,Alun-alun Kidul Yogyakarta
Studio Alam Gamplong,Studio Alam Gamplong Yogyakarta
Museum Ullen Sentalu,Museum Ullen Sentalu Yogyakarta
Candi Sambisari,Candi Sambisari Yogyakarta
Taman Sungai Mudal,Taman Sungai Mudal Yogyakarta
